Wavelength,a_I,b_IA,c_IB,d_II,e_III,f_1C,g_3C,h_5C,i_7C,j_9C
491,0.0238,0.0295,0.0388,0.0671,0.1154,0.1508,0.2452,0.3852,0.6268,1.0764
492,0.0241,0.0298,0.0391,0.0674,0.1153,0.1496,0.2424,0.3824,0.6216,1.0668
493,0.0245,0.0300,0.0395,0.0678,0.1153,0.1484,0.2396,0.3796,0.6164,1.0572
494,0.0248,0.0303,0.0398,0.0681,0.1152,0.1472,0.2368,0.3768,0.6112,1.0476
495,0.0252,0.0306,0.0402,0.0684,0.1152,0.1460,0.2340,0.3740,0.6060,1.0380
496,0.0256,0.0309,0.0406,0.0687,0.1152,0.1448,0.2312,0.3712,0.6008,1.0284
497,0.0259,0.0312,0.0409,0.0690,0.1151,0.1436,0.2284,0.3684,0.5956,1.0188
498,0.0263,0.0314,0.0413,0.0694,0.1151,0.1424,0.2256,0.3656,0.5904,1.0092
499,0.0266,0.0317,0.0416,0.0697,0.1150,0.1412,0.2228,0.3628,0.5852,0.9996
500,0.0270,0.0320,0.0420,0.0700,0.1150,0.1400,0.2200,0.3600,0.5800,0.9900
501,0.0276,0.0326,0.0425,0.0702,0.1150,0.1396,0.2192,0.3580,0.5764,0.9816
502,0.0283,0.0333,0.0430,0.0705,0.1151,0.1392,0.2184,0.3560,0.5728,0.9732
503,0.0289,0.0339,0.0434,0.0707,0.1151,0.1388,0.2176,0.3540,0.5692,0.9648
504,0.0296,0.0346,0.0439,0.0710,0.1152,0.1384,0.2168,0.3520,0.5656,0.9564
505,0.0302,0.0352,0.0444,0.0712,0.1152,0.1380,0.2160,0.3500,0.5620,0.9480
506,0.0308,0.0358,0.0449,0.0714,0.1152,0.1376,0.2152,0.3480,0.5584,0.9396
507,0.0315,0.0365,0.0454,0.0717,0.1153,0.1372,0.2144,0.3460,0.5548,0.9312
508,0.0321,0.0371,0.0458,0.0719,0.1153,0.1368,0.2136,0.3440,0.5512,0.9228
509,0.0328,0.0378,0.0463,0.0722,0.1154,0.1364,0.2128,0.3420,0.5476,0.9144
510,0.0334,0.0384,0.0468,0.0724,0.1154,0.1360,0.2120,0.3400,0.5440,0.9060
511,0.0340,0.0390,0.0473,0.0726,0.1154,0.1356,0.2112,0.3380,0.5404,0.8976
512,0.0347,0.0397,0.0478,0.0729,0.1155,0.1352,0.2104,0.3360,0.5368,0.8892
513,0.0353,0.0403,0.0482,0.0731,0.1155,0.1348,0.2096,0.3340,0.5332,0.8808
514,0.0360,0.0410,0.0487,0.0734,0.1156,0.1344,0.2088,0.3320,0.5296,0.8724
515,0.0366,0.0416,0.0492,0.0736,0.1156,0.1340,0.2080,0.3300,0.5260,0.8640
516,0.0372,0.0422,0.0497,0.0738,0.1156,0.1336,0.2072,0.3280,0.5224,0.8556
517,0.0379,0.0429,0.0502,0.0741,0.1157,0.1332,0.2064,0.3260,0.5188,0.8472
518,0.0385,0.0435,0.0506,0.0743,0.1157,0.1328,0.2056,0.3240,0.5152,0.8388
519,0.0392,0.0442,0.0511,0.0746,0.1158,0.1324,0.2048,0.3220,0.5116,0.8304
520,0.0398,0.0448,0.0516,0.0748,0.1158,0.1320,0.2040,0.3200,0.5080,0.8220
521,0.0404,0.0454,0.0521,0.0750,0.1158,0.1316,0.2032,0.3180,0.5044,0.8136
522,0.0411,0.0461,0.0526,0.0753,0.1159,0.1312,0.2024,0.3160,0.5008,0.8052
523,0.0417,0.0467,0.0530,0.0755,0.1159,0.1308,0.2016,0.3140,0.4972,0.7968
524,0.0424,0.0474,0.0535,0.0758,0.1160,0.1304,0.2008,0.3120,0.4936,0.7884
525,0.0430,0.0480,0.0540,0.0760,0.1160,0.1300,0.2000,0.3100,0.4900,0.7800
526,0.0438,0.0488,0.0547,0.0765,0.1162,0.1296,0.1996,0.3096,0.4888,0.7740
527,0.0446,0.0495,0.0554,0.0770,0.1163,0.1292,0.1992,0.3092,0.4876,0.7680
528,0.0454,0.0503,0.0562,0.0776,0.1165,0.1288,0.1988,0.3088,0.4864,0.7620
529,0.0462,0.0510,0.0569,0.0781,0.1166,0.1284,0.1984,0.3084,0.4852,0.7560
530,0.0470,0.0518,0.0576,0.0786,0.1168,0.1280,0.1980,0.3080,0.4840,0.7500
531,0.0478,0.0526,0.0583,0.0791,0.1170,0.1276,0.1976,0.3076,0.4828,0.7440
532,0.0486,0.0533,0.0590,0.0796,0.1171,0.1272,0.1972,0.3072,0.4816,0.7380
533,0.0494,0.0541,0.0598,0.0802,0.1173,0.1268,0.1968,0.3068,0.4804,0.7320
534,0.0502,0.0548,0.0605,0.0807,0.1174,0.1264,0.1964,0.3064,0.4792,0.7260
535,0.0510,0.0556,0.0612,0.0812,0.1176,0.1260,0.1960,0.3060,0.4780,0.7200
536,0.0518,0.0564,0.0619,0.0817,0.1178,0.1256,0.1956,0.3056,0.4768,0.7140
537,0.0526,0.0571,0.0626,0.0822,0.1179,0.1252,0.1952,0.3052,0.4756,0.7080
538,0.0534,0.0579,0.0634,0.0828,0.1181,0.1248,0.1948,0.3048,0.4744,0.7020
539,0.0542,0.0586,0.0641,0.0833,0.1182,0.1244,0.1944,0.3044,0.4732,0.6960
540,0.0550,0.0594,0.0648,0.0838,0.1184,0.1240,0.1940,0.3040,0.4720,0.6900
541,0.0558,0.0602,0.0655,0.0843,0.1186,0.1236,0.1936,0.3036,0.4708,0.6840
542,0.0566,0.0609,0.0662,0.0848,0.1187,0.1232,0.1932,0.3032,0.4696,0.6780
543,0.0574,0.0617,0.0670,0.0854,0.1189,0.1228,0.1928,0.3028,0.4684,0.6720
544,0.0582,0.0624,0.0677,0.0859,0.1190,0.1224,0.1924,0.3024,0.4672,0.6660
545,0.0590,0.0632,0.0684,0.0864,0.1192,0.1220,0.1920,0.3020,0.4660,0.6600
546,0.0598,0.0640,0.0691,0.0869,0.1194,0.1216,0.1916,0.3016,0.4648,0.6540
547,0.0606,0.0647,0.0698,0.0874,0.1195,0.1212,0.1912,0.3012,0.4636,0.6480
548,0.0614,0.0655,0.0706,0.0880,0.1197,0.1208,0.1908,0.3008,0.4624,0.6420
549,0.0622,0.0662,0.0713,0.0885,0.1198,0.1204,0.1904,0.3004,0.4612,0.6360
550,0.0630,0.0670,0.0720,0.0890,0.1200,0.1200,0.1900,0.3000,0.4600,0.6300
551,0.0640,0.0681,0.0731,0.0900,0.1211,0.1212,0.1908,0.3012,0.4600,0.6280
552,0.0651,0.0692,0.0742,0.0911,0.1222,0.1224,0.1916,0.3024,0.4600,0.6260
553,0.0661,0.0702,0.0752,0.0921,0.1234,0.1236,0.1924,0.3036,0.4600,0.6240
554,0.0672,0.0713,0.0763,0.0932,0.1245,0.1248,0.1932,0.3048,0.4600,0.6220
555,0.0682,0.0724,0.0774,0.0942,0.1256,0.1260,0.1940,0.3060,0.4600,0.6200
556,0.0692,0.0735,0.0785,0.0952,0.1267,0.1272,0.1948,0.3072,0.4600,0.6180
557,0.0703,0.0746,0.0796,0.0963,0.1278,0.1284,0.1956,0.3084,0.4600,0.6160
558,0.0713,0.0756,0.0806,0.0973,0.1290,0.1296,0.1964,0.3096,0.4600,0.6140
559,0.0724,0.0767,0.0817,0.0984,0.1301,0.1308,0.1972,0.3108,0.4600,0.6120
560,0.0734,0.0778,0.0828,0.0994,0.1312,0.1320,0.1980,0.3120,0.4600,0.6100
561,0.0744,0.0789,0.0839,0.1004,0.1323,0.1332,0.1988,0.3132,0.4600,0.6080
562,0.0755,0.0800,0.0850,0.1015,0.1334,0.1344,0.1996,0.3144,0.4600,0.6060
563,0.0765,0.0810,0.0860,0.1025,0.1346,0.1356,0.2004,0.3156,0.4600,0.6040
564,0.0776,0.0821,0.0871,0.1036,0.1357,0.1368,0.2012,0.3168,0.4600,0.6020
565,0.0786,0.0832,0.0882,0.1046,0.1368,0.1380,0.2020,0.3180,0.4600,0.6000
566,0.0796,0.0843,0.0893,0.1056,0.1379,0.1392,0.2028,0.3192,0.4600,0.5980
567,0.0807,0.0854,0.0904,0.1067,0.1390,0.1404,0.2036,0.3204,0.4600,0.5960
568,0.0817,0.0864,0.0914,0.1077,0.1402,0.1416,0.2044,0.3216,0.4600,0.5940
569,0.0828,0.0875,0.0925,0.1088,0.1413,0.1428,0.2052,0.3228,0.4600,0.5920
570,0.0838,0.0886,0.0936,0.1098,0.1424,0.1440,0.2060,0.3240,0.4600,0.5900
571,0.0848,0.0897,0.0947,0.1108,0.1435,0.1452,0.2068,0.3252,0.4600,0.5880
